empID,A,Last Name,First Name,Department,Office,timestamp,type,prox-id,floor,zone
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:30:45,fixed-prox,aribera001,3,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 11:31:17,fixed-prox,acalzas001,2,2
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:31:26,fixed-prox,aribera001,2,4
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:32:09,fixed-prox,aribera001,1,4
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:32:18,fixed-prox,aribera001,1,2
monda,38,Onda,Marin,Engineering,2400,2016-05-31 11:32:33,fixed-prox,monda001,2,2
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 11:34:09,fixed-prox,hmies001,2,6
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 11:34:09,fixed-prox,hmies001,2,6
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 11:35:16,fixed-prox,thagan001,2,2
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 11:40:27,fixed-prox,jsanjorge001,3,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 11:41:09,fixed-prox,jsanjorge001,2,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 11:41:40,fixed-prox,jsanjorge001,1,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 11:42:03,fixed-prox,jsanjorge001,1,2
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 11:49:24,fixed-prox,lalcazar001,2,4
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 11:50:05,fixed-prox,lalcazar001,1,4
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:50:12,fixed-prox,aribera001,1,4
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 11:50:23,fixed-prox,lalcazar001,1,2
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 11:50:34,fixed-prox,thagan001,2,4
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:50:54,fixed-prox,aribera001,2,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 11:51:05,fixed-prox,thagan001,1,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 11:51:14,fixed-prox,thagan001,1,2
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 11:51:25,fixed-prox,aribera001,3,4
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 11:52:38,fixed-prox,sparrino001,2,4
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 11:53:19,fixed-prox,sparrino001,1,4
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 11:53:34,fixed-prox,sparrino001,1,2
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 11:56:03,fixed-prox,knielson001,2,4
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 11:56:45,fixed-prox,knielson001,1,4
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 11:57:08,fixed-prox,knielson001,1,2
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 11:58:23,fixed-prox,acalzas001,2,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 11:58:23,fixed-prox,cmorluniau001,2,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 11:59:04,fixed-prox,acalzas001,1,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 11:59:04,fixed-prox,cmorluniau001,1,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 11:59:27,fixed-prox,acalzas001,1,2
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 11:59:27,fixed-prox,cmorluniau001,1,2
monda,38,Onda,Marin,Engineering,2400,2016-05-31 12:00:12,fixed-prox,monda001,2,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 12:00:53,fixed-prox,monda001,1,4
slea,114,Lea,Sherell,Security,2170,2016-05-31 12:01:12,fixed-prox,slea001,2,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 12:01:16,fixed-prox,monda001,1,2
slea,114,Lea,Sherell,Security,2170,2016-05-31 12:01:53,fixed-prox,slea001,1,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 12:02:54,fixed-prox,iborrasca001,2,4
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 12:02:54,fixed-prox,jcastellanos001,2,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 12:03:35,fixed-prox,iborrasca001,1,4
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 12:03:35,fixed-prox,jcastellanos001,1,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 12:03:52,fixed-prox,iborrasca001,1,2
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 12:04:06,fixed-prox,fmata001,2,4
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 12:04:47,fixed-prox,fmata001,1,4
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 12:05:05,fixed-prox,fmata001,1,2
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 12:06:34,fixed-prox,ldedos001,2,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 12:07:15,fixed-prox,ldedos001,1,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 12:07:18,fixed-prox,jsanjorge001,1,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 12:07:32,fixed-prox,ldedos001,1,2
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 12:08:00,fixed-prox,jsanjorge001,2,4
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 12:08:10,fixed-prox,gcazar001,2,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 12:08:31,fixed-prox,jsanjorge001,3,4
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 12:08:51,fixed-prox,gcazar001,1,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 12:08:52,fixed-prox,jsanjorge001,3,6
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 12:09:00,fixed-prox,gcazar001,1,2
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 12:10:21,fixed-prox,hmies001,2,4
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 12:10:21,fixed-prox,hmies001,2,4
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 12:11:03,fixed-prox,hmies001,1,4
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 12:11:03,fixed-prox,hmies001,1,4
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 12:11:21,fixed-prox,hmies001,1,2
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 12:11:21,fixed-prox,hmies001,1,2
ncalixto,94,Calixto,Nils,Information Technology,2155,2016-05-31 12:13:19,fixed-prox,ncalixto001,2,4
ncalixto,94,Calixto,Nils,Information Technology,2155,2016-05-31 12:14:01,fixed-prox,ncalixto001,1,4
ncalixto,94,Calixto,Nils,Information Technology,2155,2016-05-31 12:14:24,fixed-prox,ncalixto001,1,2
jholly,7,Holly,Jama,Administration,2410,2016-05-31 12:30:50,fixed-prox,jholly001,1,4
jholly,7,Holly,Jama,Administration,2410,2016-05-31 12:31:32,fixed-prox,jholly001,2,4
jholly,7,Holly,Jama,Administration,2410,2016-05-31 12:31:51,fixed-prox,jholly001,2,2
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 12:40:57,fixed-prox,lalcazar001,1,4
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 12:41:38,fixed-prox,lalcazar001,2,4
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 12:43:03,fixed-prox,tseifert001,3,2
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 12:46:03,fixed-prox,knielson001,1,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 12:46:19,fixed-prox,eklinger001,3,4
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 12:46:44,fixed-prox,knielson001,2,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 12:47:00,fixed-prox,eklinger001,2,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 12:47:31,fixed-prox,eklinger001,1,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 12:47:49,fixed-prox,eklinger001,1,2
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 12:48:12,fixed-prox,iborrasca001,1,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 12:48:54,fixed-prox,iborrasca001,2,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 12:49:10,fixed-prox,iborrasca001,2,6
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 12:51:57,fixed-prox,fmata001,1,4
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 12:52:38,fixed-prox,fmata001,2,4
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 12:53:12,fixed-prox,gcazar001,1,4
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 12:53:44,fixed-prox,gcazar001,2,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 12:54:57,fixed-prox,thagan001,1,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 12:55:38,fixed-prox,thagan001,2,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 12:56:04,fixed-prox,thagan001,2,2
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 12:58:03,fixed-prox,jcastellanos001,1,4
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 12:58:03,fixed-prox,sparrino001,1,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 12:58:03,fixed-prox,cmorluniau001,1,4
slea,114,Lea,Sherell,Security,2170,2016-05-31 12:58:03,fixed-prox,slea001,1,4
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 12:58:44,fixed-prox,jcastellanos001,2,4
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 12:58:44,fixed-prox,sparrino001,2,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 12:58:44,fixed-prox,cmorluniau001,2,4
slea,114,Lea,Sherell,Security,2170,2016-05-31 12:58:44,fixed-prox,slea001,2,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 12:59:08,fixed-prox,cmorluniau001,2,6
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 13:00:07,fixed-prox,aribera001,3,2
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 13:00:25,fixed-prox,jcastellanos001,2,3
slea,114,Lea,Sherell,Security,2170,2016-05-31 13:00:25,fixed-prox,slea001,2,3
monda,38,Onda,Marin,Engineering,2400,2016-05-31 13:01:57,fixed-prox,monda001,1,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 13:02:38,fixed-prox,monda001,2,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 13:02:53,fixed-prox,monda001,2,2
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 13:06:03,fixed-prox,acalzas001,1,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 13:06:44,fixed-prox,acalzas001,2,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 13:06:59,fixed-prox,acalzas001,2,2
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 13:08:03,fixed-prox,hmies001,1,4
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 13:08:03,fixed-prox,hmies001,1,4
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 13:08:44,fixed-prox,hmies001,2,4
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 13:08:44,fixed-prox,hmies001,2,4
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 13:09:35,fixed-prox,hmies001,2,6
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 13:09:35,fixed-prox,hmies001,2,6
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 13:13:28,fixed-prox,ldedos001,1,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 13:14:09,fixed-prox,ldedos001,2,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 13:14:27,fixed-prox,ldedos001,2,2
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 13:15:57,fixed-prox,ibarranco001,1,4
